index,w1,w5,q_max,bitline_min,temper,alter#
$DATA1,SOURCE='PrimeSim,HSPICE',VERSION='U-2023.03,linux6',PARAM_COUNT=3,.TITLE,'.include,'/home/taf27/hspice/libs/cmos_180nm_l49.lib''
index,w1,w5,q_max,bitline_min,temper,alter#
96,6.0000,11.0000,0.2929,1.261e-06,25.0000,1
97,7.0000,10.0000,0.2564,8.343e-07,25.0000,1
98,8.0000,9.0000,0.2277,6.011e-07,25.0000,1
99,9.0000,8.0000,0.2047,4.495e-07,25.0000,1
100,10.0000,7.0000,0.1859,3.437e-07,25.0000,1
101,11.0000,6.0000,0.1702,2.641e-07,25.0000,1
102,12.0000,5.0000,0.1569,2.116e-07,25.0000,1
103,13.0000,4.0000,0.1455,1.548e-07,25.0000,1
104,14.0000,3.0000,0.1356,1.050e-07,25.0000,1
105,15.0000,2.0000,0.1269,4.961e-08,25.0000,1
106,2.0000,16.0000,0.6401,9.222e-04,25.0000,1
107,3.0000,15.0000,0.5007,6.023e-05,25.0000,1
108,4.0000,14.0000,0.4068,8.835e-06,25.0000,1
109,5.0000,13.0000,0.3411,2.661e-06,25.0000,1
110,6.0000,12.0000,0.2929,1.344e-06,25.0000,1
111,7.0000,11.0000,0.2564,9.063e-07,25.0000,1
112,8.0000,10.0000,0.2277,6.713e-07,25.0000,1
113,9.0000,9.0000,0.2047,5.027e-07,25.0000,1
114,10.0000,8.0000,0.1859,3.931e-07,25.0000,1
115,11.0000,7.0000,0.1702,3.074e-07,25.0000,1
116,12.0000,6.0000,0.1569,2.402e-07,25.0000,1
117,13.0000,5.0000,0.1455,2.009e-07,25.0000,1
118,14.0000,4.0000,0.1356,1.525e-07,25.0000,1
119,15.0000,3.0000,0.1270,9.715e-08,25.0000,1
120,16.0000,2.0000,0.1193,4.875e-08,25.0000,1
121,2.0000,17.0000,0.6396,9.214e-04,25.0000,1
122,3.0000,16.0000,0.5005,6.046e-05,25.0000,1
123,4.0000,15.0000,0.4068,8.959e-06,25.0000,1
124,5.0000,14.0000,0.3411,2.771e-06,25.0000,1
125,6.0000,13.0000,0.2929,1.427e-06,25.0000,1
126,7.0000,12.0000,0.2563,9.769e-07,25.0000,1
127,8.0000,11.0000,0.2277,7.355e-07,25.0000,1
128,9.0000,10.0000,0.2047,5.541e-07,25.0000,1
129,10.0000,9.0000,0.1859,4.429e-07,25.0000,1
130,11.0000,8.0000,0.1702,3.504e-07,25.0000,1
131,12.0000,7.0000,0.1569,2.830e-07,25.0000,1
132,13.0000,6.0000,0.1455,2.202e-07,25.0000,1
133,14.0000,5.0000,0.1356,1.897e-07,25.0000,1
134,15.0000,4.0000,0.1270,1.437e-07,25.0000,1
135,16.0000,3.0000,0.1194,8.876e-08,25.0000,1
136,17.0000,2.0000,0.1126,4.900e-08,25.0000,1
137,2.0000,18.0000,0.6392,9.208e-04,25.0000,1
138,3.0000,17.0000,0.5003,6.068e-05,25.0000,1
139,4.0000,16.0000,0.4067,9.077e-06,25.0000,1
140,5.0000,15.0000,0.3410,2.858e-06,25.0000,1
141,6.0000,14.0000,0.2929,1.510e-06,25.0000,1
142,7.0000,13.0000,0.2563,1.048e-06,25.0000,1
143,8.0000,12.0000,0.2277,7.970e-07,25.0000,1
144,9.0000,11.0000,0.2047,6.078e-07,25.0000,1
145,10.0000,10.0000,0.1859,4.902e-07,25.0000,1
146,11.0000,9.0000,0.1702,3.969e-07,25.0000,1
147,12.0000,8.0000,0.1569,3.271e-07,25.0000,1
148,13.0000,7.0000,0.1455,2.397e-07,25.0000,1
149,14.0000,6.0000,0.1356,1.843e-07,25.0000,1
150,15.0000,5.0000,0.1270,1.789e-07,25.0000,1
151,16.0000,4.0000,0.1194,1.310e-07,25.0000,1
152,17.0000,3.0000,0.1126,7.919e-08,25.0000,1
153,18.0000,2.0000,0.1065,4.475e-08,25.0000,1
154,2.0000,19.0000,0.6389,9.204e-04,25.0000,1
155,3.0000,18.0000,0.5002,6.087e-05,25.0000,1
156,4.0000,17.0000,0.4065,9.211e-06,25.0000,1
157,5.0000,16.0000,0.3410,2.961e-06,25.0000,1
158,6.0000,15.0000,0.2929,1.593e-06,25.0000,1
159,7.0000,14.0000,0.2563,1.119e-06,25.0000,1
160,8.0000,13.0000,0.2277,8.566e-07,25.0000,1
161,9.0000,12.0000,0.2047,6.625e-07,25.0000,1
162,10.0000,11.0000,0.1859,5.384e-07,25.0000,1
163,11.0000,10.0000,0.1702,4.419e-07,25.0000,1
164,12.0000,9.0000,0.1569,3.672e-07,25.0000,1
165,13.0000,8.0000,0.1455,2.752e-07,25.0000,1
166,14.0000,7.0000,0.1356,2.218e-07,25.0000,1
167,15.0000,6.0000,0.1270,1.847e-07,25.0000,1
168,16.0000,5.0000,0.1194,1.622e-07,25.0000,1
169,17.0000,4.0000,0.1126,1.066e-07,25.0000,1
170,18.0000,3.0000,0.1066,9.674e-08,25.0000,1
171,19.0000,2.0000,0.1011,4.138e-08,25.0000,1
172,2.0000,20.0000,0.6385,9.201e-04,25.0000,1
173,3.0000,19.0000,0.4999,6.018e-05,25.0000,1
174,4.0000,18.0000,0.4064,9.329e-06,25.0000,1
175,5.0000,17.0000,0.3410,3.051e-06,25.0000,1
176,6.0000,16.0000,0.2929,1.682e-06,25.0000,1
177,7.0000,15.0000,0.2563,1.191e-06,25.0000,1
178,8.0000,14.0000,0.2277,9.135e-07,25.0000,1
179,9.0000,13.0000,0.2047,7.188e-07,25.0000,1
180,10.0000,12.0000,0.1859,5.868e-07,25.0000,1
181,11.0000,11.0000,0.1702,4.865e-07,25.0000,1
182,12.0000,10.0000,0.1569,4.052e-07,25.0000,1
